SCHOOLID,Lat,Long,policy_implementation
609682,41.8028808665,-87.6623145142,2015
609704,41.8485592157,-87.708742323,2015
609705,41.6899507253,-87.6375720508,2015
609707,41.7697134171,-87.6371893707,2015
609709,41.791012839,-87.6889539419,2015
609710,41.718372,-87.620623,2015
609711,41.775124,-87.669089,2015
609712,41.753747956,-87.6017272664,2015
609713,41.7822569275,-87.5866150099,2015
609722,41.8709389566,-87.6998955904,2015
609723,41.8784166477,-87.7080494804,2015
609725,41.692011124,-87.665675573,2015
609726,41.6927350915,-87.6163519047,2015
609727,41.823852531,-87.6197957427,2015
609735,41.807509471,-87.6430031534,2015
609744,41.982945085,-87.7223855843,2015
609754,41.8305544189,-87.619252226,2015
609759,41.9026253078,-87.6869428732,2015
609761,41.7066596171,-87.6012158766,2015
609768,41.793553,-87.641244,2015
609769,41.8496748572,-87.62535151,2015
609790,41.7541938505,-87.6709271289,2015
609819,41.7967595641,-87.6161405241,2015
609848,41.6573775273,-87.6064739047,2015
609941,41.760614,-87.675966,2015
609964,41.8072410102,-87.6612113305,2015
610012,41.9020539966,-87.6410922744,2015
610037,41.7976848326,-87.6599328179,2015
610116,41.768555,-87.582954,2015
610183,41.884876,-87.750445,2015
610184,41.8477467228,-87.7001844722,2015
610226,41.792346,-87.710987,2015
610238,41.7653605665,-87.6530177863,2015
610244,41.872885,-87.753325,2015
610323,41.7337060939,-87.5577592347,2015
610345,41.8144987958,-87.6084187685,2015
610347,41.7774830723,-87.6810603943,2015
610385,41.8352818736,-87.735283297,2015
610389,41.8944488267,-87.7261663315,2015
610391,41.7820408035,-87.6716618501,2015
610394,41.9655200273,-87.6524725409,2015
610513,41.828145,-87.632757,2015
610524,41.9357940435,-87.6805987584,2015
610547,41.7587916633,-87.5763526381,2015
